Timestamp,Your Name,Class,Index Number,I am excited about the skills I learnt during CS,I feel confident in my technical skills,I know how to work through problems when I get stumped,Learning about technology is exciting,I wish I had more opportunities to learn technical skill,I would like to own a Microbit set for my own learning,I would consider using Microbit for my future school projects ,What was your favourite part of the course?,What was your least favourite part of the course?,What could be improved?,I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)
3/20/2018 8:36,Hidden,1B,Hidden,5,4,4,4,5,4,Maybe,shooting game,intro,how fun the games created are,Maybe
3/20/2018 8:37,Hidden,1B,Hidden,5,4,5,5,5,4,Yes,Learning about the shooting game,The end,nothing,Maybe
3/20/2018 8:37,Hidden,1A,Hidden,5,4,4,5,5,5,Yes,Everything,NIL,Longer Duration,Yes
3/20/2018 8:37,Hidden,1B,Hidden,3,3,1,1,1,1,Maybe,Learning how to use the game block.,Coding with loops,Lessons could be more structured.,No
3/20/2018 8:38,Hidden,1B,Hidden,2,2,3,2,2,2,Maybe,The games! :PPP,the confusing parts :((((,More interesting activities should be conducted. :?,Maybe
3/20/2018 8:39,Hidden,1B,Hidden,4,4,3,4,4,2,Maybe,Everything.,Nothing,NOTHING,Maybe
3/20/2018 8:39,Hidden,1B,Hidden,5,4,4,5,5,5,Yes,Programming,NIL,"Everything is excellent 
for the below qn, I can't sign up because I have CSP and my parents want me to continue with it.",No
3/20/2018 8:40,Hidden,1A,Hidden,5,4,3,4,5,5,Maybe,The coding,Not much,NIL,Maybe
3/20/2018 8:41,Hidden,1B,Hidden,4,5,3,5,5,3,Maybe,The use of the microbit to play the game I created.,Nil,We can do more practises.,No
3/20/2018 8:42,Hidden,1B,Hidden,5,4,4,5,5,5,Yes,The project ,Watching people get scolded ,Nil ,Yes
3/20/2018 8:42,Hidden,1B,Hidden,5,5,3,5,5,5,Yes,trying to code the microbit,Nil,more practices.,Maybe
3/20/2018 8:42,Hidden,1A,Hidden,5,5,5,5,5,5,Yes,Programming the microbit,Programming the microbit,More accessories to build on the microbit.,Yes
3/20/2018 8:42,Hidden,1A,Hidden,4,4,4,4,4,5,Maybe,the prentation,nil,more descriptions when teaching us the codes,Maybe
3/20/2018 8:42,Hidden,1A,Hidden,5,4,4,5,5,5,Yes,Programming the shooting game,Finding out what went wrong in Microbit projects,More variety of games,Yes
3/20/2018 8:42,Hidden,1A,Hidden,4,3,3,5,4,5,Maybe,Our projects,A really hard lesson,We can use our time better,Maybe
3/20/2018 8:43,Hidden,1A,Hidden,4,3,3,3,3,3,Maybe,When we were working on projects.,When I could not do the project.,The project.,Maybe
3/20/2018 8:45,Hidden,1A,Hidden,5,4,4,5,5,4,Yes,The creation of the flappy bird code,idk,Longer period of time of the CS,Yes
3/20/2018 8:48,Hidden,1A,Hidden,2,5,5,2,3,5,Maybe,The computer,Min Jie,The computer size.,No
3/21/2018 8:00,Hidden,1K,Hidden,5,4,4,5,5,5,Maybe,Programming,NIL,NIL,Maybe
3/21/2018 8:00,Hidden,1L,Hidden,4,3,4,5,5,3,Maybe,Coding and decryption (Radio),Nil,They should extend the time length of CS,Yes
3/21/2018 8:01,Hidden,1L,Hidden,4,3,3,4,4,4,Maybe,Probably everything,Probably nothing,Quite ok liao lah,Maybe
3/21/2018 8:01,Hidden,1L,Hidden,4,3,4,5,4,5,Maybe,NIL,NIL,NIL,Maybe
3/21/2018 8:02,Hidden,1L,Hidden,3,3,3,3,3,3,Maybe,The project,NIL,NIL,Maybe
3/21/2018 8:02,Hidden,1L,Hidden,4,4,3,4,4,4,Maybe,Learning new techinal skills,N.A,N.A,Maybe
3/21/2018 8:02,Hidden,1L,Hidden,2,4,5,2,1,1,Maybe,Using the computer,Making the codes,"Make it more interesting, use other tools etc.",No
3/21/2018 8:02,Hidden,1K,Hidden,4,4,4,4,5,5,Maybe,Individual project,None,Receive the addons earlier,Maybe
3/21/2018 8:02,Hidden,1K,Hidden,5,4,4,5,4,5,Maybe,Learning about different aspects of programming,NIL,Lesson time could be longer :),Maybe
3/21/2018 8:02,Hidden,1K,Hidden,4,3,3,4,4,4,Maybe,Learning how to code new games.,The summative project.,Give us a free microbit so we can practise at home.,No
3/21/2018 8:02,Hidden,1L,Hidden,5,3,4,5,5,4,Maybe,The Project,None,nothing,Maybe
3/21/2018 8:02,Hidden,1L,Hidden,5,4,4,4,3,3,Maybe,The decoding lesson,nil,Maybe there could be more sections in the 'advanced' tab covered (they look interesting),Maybe
3/21/2018 8:03,Hidden,1L,Hidden,5,5,5,5,5,5,Yes,getting to know how to code complicated codes,not sure,duration longer,Yes
3/21/2018 8:03,Hidden,1L,Hidden,4,1,2,4,4,4,Maybe,Experimenting with the codes.,Making a code from scratch when I have no idea how to do it.,Explanation of the why the codes work.,No
3/21/2018 8:03,Hidden,1K,Hidden,4,4,5,5,5,3,Maybe,Trying to learn to write Javascript through the blocks system,NIL,"Maybe a separate streaming for those that have knowledge in programming so as to allow them to cover a greater depth (not just Javascript blocks, but maybe directly using Javascript for them)",Yes
3/21/2018 8:03,Hidden,1L,Hidden,4,5,5,5,5,2,Maybe,My favourite part of the course was doing the caesar decoder as it was quite challenging and made me think about my code.,Nil.,We could learn more about the advanced tab such as the control tab.,Yes
3/21/2018 8:03,Hidden,1K,Hidden,5,4,4,5,5,4,Yes,Making games,Doing the summative,The number of lessons,Maybe
3/21/2018 8:04,Hidden,1K,Hidden,5,5,5,5,5,5,Yes,Learning how to make games on microbit,nil,"Learn more stuff (e.g. functions, LED, control, Pins)",Yes
3/21/2018 8:04,Hidden,1L,Hidden,4,3,3,4,4,4,Yes,the programming,nil-,nil-,Maybe
3/21/2018 8:04,Hidden,1L,Hidden,5,4,4,5,4,3,Maybe,Learning how to program games using microbit,nil,increase the number of weeks for computer studies,Maybe
